Name,Latitude,Longitude,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NGA,10,8,4,4,4,6,7,8,14,14,16,22,29,32,35,35,39,43,44,47,50,51,52,55,56,58,60,60,61,70,75,78,79,81,84,86,89,95
NIC,13,-85,1,2,7,7,12,16,21,25,25,28,28,31,34,37,41,45,49,50,57,62,62,67,68,71,80,80,83,86,87,93,94,94,95,96,97,99
NIU,-19.03333,-169.86667,1,4,5,7,8,11,12,15,16,18,26,35,37,38,43,44,47,51,53,55,57,61,62,64,64,67,69,70,72,78,80,85,88,91,92,94
NLD,52.25,5.75,2,5,6,7,8,10,12,15,21,28,33,39,40,42,43,44,48,50,51,53,56,56,57,62,66,71,78,78,83,84,86,89,90,92,93,96
NOR,62,10,2,3,6,6,6,8,15,16,17,18,21,26,26,32,33,39,41,43,47,47,51,52,55,62,65,65,69,70,80,81,89,93,93,94,97,98
NPL,28,84,1,9,10,12,18,24,26,28,28,33,34,35,36,39,41,51,54,54,56,56,59,59,60,63,65,67,80,80,81,82,83,84,85,89,90,94
NRU,-0.517,166.933,1,3,5,7,8,10,11,12,13,16,17,19,22,23,27,32,33,33,36,36,37,39,40,48,48,52,54,62,63,75,80,82,87,90,94,95
NZL,-42,174,5,7,10,12,15,16,17,21,24,34,34,36,39,40,45,46,48,50,51,52,53,55,56,58,72,73,73,74,84,88,88,89,92,96,98,99
OMN,21,57,1,2,4,12,12,12,13,17,19,19,21,23,24,26,27,28,35,36,36,49,52,56,57,57,61,64,65,66,77,77,79,85,89,89,94,98
PAK,30,70,6,12,13,18,18,28,28,29,29,38,39,40,42,43,53,58,61,62,63,64,65,74,74,78,79,82,84,85,86,89,89,92,96,97,97,98
PAN,8.9936,-79.51973,4,4,6,12,12,20,23,31,32,33,35,35,37,40,41,43,50,50,51,53,54,55,57,63,64,66,67,73,73,74,77,79,81,82,88,95
PCN,-25.06667,-130.1,4,4,6,8,8,9,12,13,13,18,20,29,29,37,39,39,40,41,44,44,51,56,58,58,62,67,68,71,74,75,76,77,81,85,86,88
PER,-10,-75.25,6,8,8,11,19,26,32,34,35,39,40,40,42,44,46,48,51,58,58,61,64,64,65,66,68,75,76,78,80,81,82,83,84,85,88,93
PHL,13,122,5,14,15,18,19,24,27,31,31,31,32,33,40,43,44,46,49,53,56,57,62,63,64,65,67,70,76,83,84,85,87,87,91,95,95,96
PLW,7.503,134.621,2,3,11,24,30,32,37,38,39,44,45,48,49,49,53,54,59,60,61,61,67,67,71,78,79,82,86,86,90,91,91,93,94,94,95,99
PNG,-6,147,6,11,12,17,18,20,26,29,32,34,34,42,45,45,47,52,52,53,55,58,59,61,67,73,77,78,78,79,88,89,90,90,92,99,99,99
POL,52,20,3,5,6,6,8,11,16,16,20,21,22,23,26,29,34,40,40,45,48,49,49,50,65,66,74,77,78,79,81,83,86,86,88,90,97,98
PRI,18.46633,-66.10572,2,3,13,15,16,16,18,19,20,21,23,30,31,36,41,42,45,50,51,53,58,58,65,65,66,68,71,74,76,79,89,90,91,93,94,94
PRK,40,127,2,2,12,18,20,21,23,25,28,29,32,33,35,37,39,40,43,44,46,52,52,56,69,71,73,75,77,77,78,82,83,87,88,88,91,96
PRT,39.6945,-8.13057,7,13,15,16,16,19,20,37,37,38,41,41,44,47,52,54,56,56,57,61,64,64,65,67,71,71,76,79,79,80,84,86,86,87,90,99
PRY,-23.33333,-58,7,7,10,13,15,17,18,20,21,27,34,39,40,43,44,48,49,50,59,60,62,64,65,66,71,72,72,73,74,77,82,84,87,94,95,97
PSE,31.92157,35.20329,4,6,7,7,9,10,15,18,19,19,38,40,41,42,47,47,49,49,51,52,56,56,57,57,57,64,64,66,69,71,76,78,79,82,86,86
PYF,-15,-140,4,11,26,28,29,31,34,36,38,38,40,43,43,45,45,46,47,49,53,59,62,62,65,65,69,70,71,82,82,82,85,89,91,91,93,93
QAT,25.27932,51.52245,4,7,7,9,11,11,12,20,21,22,22,27,28,28,32,39,39,46,48,50,53,58,62,70,70,71,75,82,82,84,85,94,94,97,97,99
REU,-20.88231,55.4504,7,9,13,14,21,22,23,25,25,31,39,42,42,46,47,52,55,58,59,60,63,64,68,71,84,84,87,87,91,92,93,96,97,97,99,99
ROU,46,25,3,8,14,16,17,17,18,21,26,27,29,30,32,38,45,47,48,48,51,56,58,62,64,64,67,70,73,82,82,88,90,91,94,95,98,98
RUS,60,100,4,6,6,12,15,16,16,18,18,19,19,20,28,33,42,45,46,51,55,59,61,68,72,79,79,80,82,83,84,87,87,88,89,89,90,91
RUS,60,100,1,1,2,2,5,7,7,10,16,17,25,25,26,28,29,30,31,36,39,40,43,49,56,63,64,64,71,76,77,81,84,85,90,97,97,97
RWA,-2,30,8,9,9,20,21,21,22,23,29,31,40,40,41,41,47,49,53,54,55,56,61,63,67,67,69,75,78,79,88,90,91,93,95,98,99,99
SAU,25,45,2,4,5,7,7,8,9,10,11,13,19,23,29,31,39,42,43,46,47,48,48,53,58,59,60,64,65,76,78,79,82,88,91,92,92,96
SDN,16,30,2,3,8,8,15,15,19,19,28,35,37,37,39,45,46,50,53,57,57,57,59,62,65,70,73,76,76,76,79,84,86,86,88,89,90,91
SEN,14.5,-14.25,1,2,5,9,11,15,16,17,18,26,28,29,30,31,34,39,41,42,43,45,47,49,49,50,53,56,60,68,69,71,72,76,82,87,90,98
SGP,1.28967,103.85007,2,2,3,5,5,8,10,16,19,23,25,27,29,38,40,47,47,48,49,50,54,60,61,61,62,63,64,65,69,83,84,85,88,90,91,95
SGS,,,2,6,6,10,11,12,13,15,20,24,24,27,28,29,30,31,34,35,35,40,46,50,53,59,63,63,66,68,74,76,79,81,87,88,90,91
SHN,-15.95,-5.7,2,4,6,6,7,9,14,16,18,25,25,27,28,29,32,38,40,40,51,53,60,63,64,65,66,67,72,78,80,81,84,90,91,95,98,99
SJM,78,20,3,3,5,6,9,10,17,17,17,22,30,31,35,35,36,38,38,42,43,47,47,51,53,57,66,71,72,73,80,83,87,94,95,96,96,97
SLB,-8,159,3,4,4,4,5,10,13,14,17,19,23,23,30,34,35,37,43,43,44,52,55,56,63,63,71,73,75,81,82,85,92,93,95,96,97,99
SLE,8.5,-11.5,2,5,7,7,13,15,16,16,20,21,21,24,26,29,30,32,38,49,59,63,63,64,67,69,71,71,79,81,82,89,90,90,90,93,94,94
SLV,13.83333,-88.91667,6,9,9,9,10,15,26,26,27,30,31,31,35,36,36,38,42,45,47,48,49,55,57,58,63,64,67,69,69,89,90,96,96,97,98,98
SMR,43.93667,12.44639,2,3,4,11,16,16,17,21,23,24,29,30,30,36,39,42,47,48,57,57,58,62,68,69,70,70,70,75,77,80,89,90,92,92,94,94
SOM,6,48,8,8,8,9,10,13,13,16,19,28,29,29,29,35,35,36,42,43,46,51,61,62,64,69,72,73,73,73,75,79,81,81,82,84,88,89
SPM,46.83333,-56.33333,2,3,4,4,8,11,12,15,16,18,21,31,33,34,35,40,42,45,49,49,52,55,59,62,66,66,70,74,75,80,84,85,90,97,97,97
SRB,44.81892,20.45998,1,3,6,6,9,9,11,15,19,31,33,36,37,41,44,48,50,51,58,60,62,62,65,65,66,67,68,73,74,75,80,84,88,91,93,93
SSD,7.5,30,3,5,5,7,11,11,11,15,16,17,19,20,27,28,37,37,44,47,48,49,51,52,56,61,64,64,69,71,74,78,79,83,93,93,97,99
STP,1,7,2,4,7,8,9,11,11,18,28,31,34,37,39,41,41,42,48,48,51,54,58,61,61,62,63,70,73,74,75,80,81,82,83,91,93,99
SUR,4,-56,5,6,6,8,14,15,18,33,33,37,37,41,42,43,46,53,54,57,57,61,61,65,66,69,69,71,72,73,74,75,76,78,81,82,89,97
SVK,48.66667,19.5,1,2,3,4,5,9,9,17,18,19,19,29,30,31,33,36,36,37,42,43,45,49,50,56,57,69,69,75,79,79,79,81,84,87,89,99
SVN,46.08333,15,2,3,6,10,10,11,11,12,16,19,22,26,29,29,34,35,36,42,42,43,46,59,67,68,72,73,75,79,84,84,86,88,88,90,97,97
SWE,62,15,2,3,10,12,14,14,18,18,22,27,30,35,42,43,43,47,50,52,54,59,61,65,66,67,68,68,71,73,74,75,79,80,89,91,93,94
SWZ,-26.5,31.5,2,10,12,13,14,16,23,24,24,25,26,35,36,37,39,41,49,51,55,56,59,61,66,68,69,70,70,70,71,72,75,81,86,87,89,90
SYC,-4.58333,55.66667,3,5,10,10,11,12,15,15,16,17,23,23,25,25,28,33,34,37,49,49,50,52,60,60,66,68,73,85,88,88,88,92,95,96,96,97
SYR,35,38,2,10,11,12,14,17,21,22,22,23,23,24,24,25,31,34,35,36,39,40,49,50,53,54,57,57,59,65,72,73,73,73,78,83,83,95
TCA,21.73333,-71.58333,1,4,6,7,17,19,21,24,27,31,34,37,37,40,40,44,45,47,53,55,55,60,64,65,69,75,76,78,79,79,81,85,88,96,98,98
TCD,15,19,7,11,13,18,19,33,35,35,36,36,42,43,43,47,49,52,54,54,55,58,60,63,64,67,70,71,73,74,80,81,85,94,94,95,96,98
TGO,8.66667,1.08333,6,10,11,12,12,14,14,16,19,19,26,36,37,40,42,48,59,62,65,67,69,69,72,73,74,77,80,84,89,90,90,92,95,96,97,98
THA,15.5,101,1,6,8,10,10,13,15,19,19,19,20,25,28,30,34,41,45,46,47,50,56,58,62,65,66,70,72,72,75,76,80,93,94,95,95,95
TJK,39,71,2,6,9,10,11,11,13,16,17,21,23,23,24,24,27,28,29,30,45,46,46,50,60,64,64,65,66,79,80,80,84,90,95,95,96,97
TKL,-9.167,-171.83,7,11,13,14,27,29,29,31,34,34,34,44,44,45,46,47,50,50,50,53,55,61,70,71,75,77,77,79,79,80,80,80,86,95,98,98
TKM,39.75,59.66667,2,3,10,13,14,20,23,25,27,30,30,33,34,35,35,38,38,39,41,42,43,46,49,50,52,54,55,62,66,68,75,76,82,83,92,93
TLS,-8.83333,125.75,10,11,16,18,18,20,20,21,25,27,28,30,32,33,35,36,36,38,46,49,50,57,58,62,62,64,69,69,80,82,83,84,88,96,97,98
TON,-20,-175,6,11,13,15,17,25,26,32,33,37,37,38,40,43,47,48,49,52,53,54,56,59,60,62,64,65,66,67,67,74,76,77,86,86,93,98
TTO,11,-61,1,2,7,10,12,21,21,22,23,26,28,30,33,33,37,40,42,43,46,49,52,53,60,65,68,69,72,78,82,82,85,86,92,96,97,98
TUN,34,9,4,8,16,19,21,21,26,31,32,37,39,40,41,42,45,47,50,51,52,55,55,57,60,60,60,61,61,64,65,72,76,83,86,87,88,98
TUR,39,35,4,18,20,27,28,29,32,38,39,39,43,50,52,54,56,56,56,59,63,64,74,78,79,79,82,87,88,88,91,91,92,92,94,94,96,97
TUV,-8.51719,179.14478,2,6,7,9,12,17,20,21,22,25,26,45,50,57,59,61,62,67,68,69,70,73,77,77,78,80,83,84,84,86,87,88,93,93,94,95
TWN,24,121,1,1,2,5,8,8,8,10,10,13,14,19,21,21,28,30,34,35,43,43,54,56,57,62,62,63,64,67,70,73,86,87,89,90,91,92
TWN,24,121,9,18,29,30,34,36,37,40,41,44,45,50,50,51,53,54,57,61,62,65,66,75,75,76,77,77,78,81,82,84,85,89,91,92,96,99
TZA,-6,35,3,7,10,20,23,26,28,29,29,30,33,37,39,40,41,41,45,45,46,53,59,59,65,69,69,83,87,90,90,91,91,92,93,96,99,99
UGA,1.25,32.5,1,2,3,7,7,8,9,17,19,19,23,30,30,30,36,37,37,37,40,45,49,50,51,58,64,67,71,80,80,85,86,92,94,94,95,99
UKR,49,32,1,3,3,8,9,16,19,20,21,27,32,34,34,47,48,52,54,55,55,56,66,77,79,79,80,81,84,88,90,91,94,97,97,98,99,99
UMI,15.92313903438495,-98.42987676168231,4,4,5,6,7,8,12,23,23,31,34,37,38,41,46,46,49,50,54,55,57,58,58,59,59,60,63,65,66,69,80,82,87,88,88,91
URY,-33,-56,4,4,5,8,10,15,19,20,26,29,30,33,34,34,35,43,49,49,52,52,57,61,62,64,67,67,72,75,77,84,85,90,92,93,94,97
USA,39.76,-98.5,2,5,7,10,12,14,15,16,16,19,19,19,20,24,26,27,32,35,36,39,45,49,55,57,58,59,60,60,63,70,70,75,75,77,78,92
UZB,41.66667,63.83333,1,2,3,7,8,14,20,21,23,25,29,35,37,38,40,41,45,54,57,60,62,67,67,76,78,80,83,85,86,89,91,92,93,93,94,96
VAT,41.90236,12.45332,1,5,15,18,19,22,25,26,29,35,38,39,40,44,49,49,51,53,53,58,60,69,71,72,74,77,80,84,86,88,88,91,92,93,95,95
VCT,13.08333,-61.2,2,4,15,21,22,24,25,26,27,29,29,38,43,44,47,47,48,49,51,52,57,59,65,68,71,72,73,74,76,79,83,85,86,91,93,93
VCT,13.08333,-61.2,1,8,11,12,12,14,14,20,25,26,26,31,40,41,43,44,49,50,51,57,60,61,65,69,73,76,77,81,85,88,89,91,91,92,93,98
VCT,13.08333,-61.2,3,5,6,6,10,12,16,16,18,20,23,24,25,26,27,29,33,38,39,47,48,51,51,57,61,64,65,68,75,77,78,82,84,86,87,90
VEN,8,-66,7,12,15,16,19,22,27,31,35,36,36,44,45,48,52,54,55,55,56,64,66,72,74,77,79,81,83,84,86,87,91,91,91,93,93,95
VEN,8,-66,2,3,5,9,10,12,18,19,21,23,28,31,33,34,36,40,41,42,43,43,46,49,57,58,61,64,64,75,81,83,84,85,87,87,98,98
VGB,18.5,-64.5,1,5,7,12,12,12,12,14,19,20,29,34,35,36,38,41,48,52,53,54,63,68,68,70,71,71,72,76,78,81,85,86,89,90,92,96
VIR,18.34829,-64.98348,3,7,9,11,12,14,15,16,17,19,24,27,29,39,43,44,45,50,52,54,54,55,55,58,59,67,69,70,72,72,72,81,83,83,85,99
VNM,16.16667,107.83333,8,8,9,28,30,32,32,36,38,39,43,49,55,62,63,64,68,68,70,71,71,75,77,79,80,82,88,88,89,91,92,96,96,97,99,99
VNM,16.16667,107.83333,5,7,15,17,18,24,27,27,27,30,30,33,33,35,37,43,46,49,49,50,52,53,56,58,58,66,75,75,75,75,82,83,87,92,94,96
VUT,-16,167,5,8,11,11,11,15,17,17,18,19,25,25,26,27,31,42,42,44,46,46,52,53,54,58,62,62,64,65,68,75,76,83,89,92,95,97
WLF,-13.3,-176.2,6,7,19,20,23,25,29,33,34,40,51,52,55,56,57,58,59,59,65,68,70,70,72,73,74,78,80,83,84,84,86,89,90,93,95,96
WSM,-13.8,-172.13333,7,11,21,25,26,29,31,32,34,35,39,42,43,46,48,50,51,55,58,59,63,70,70,71,73,76,79,79,80,83,84,85,88,92,96,99
YEM,15.380374835587787,44.375559646785334,5,6,8,11,11,11,11,15,16,16,17,22,25,28,31,31,31,33,35,37,42,50,51,53,58,58,61,62,70,75,76,77,83,90,90,91
ZAF,-29,24,4,9,11,12,13,14,22,22,26,30,30,33,43,43,45,46,47,49,54,55,58,59,59,66,75,78,79,84,85,86,88,90,91,92,94,95
ZMB,-14.33333,28.5,2,2,6,22,23,26,27,31,32,33,36,43,44,46,46,49,49,51,52,53,54,57,67,71,74,78,80,81,82,87,87,87,88,88,91,95
ZWE,-19,29.75,2,3,4,8,13,14,15,15,18,20,26,29,32,33,34,34,37,38,38,42,43,48,54,57,60,63,71,72,73,77,78,81,82,82,90,93
