Name,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
POL,8,9,11,15,16,21,22,25,25,26,27,28,35,35,40,41,42,43,47,48,49,52,52,58,60,69,77,77,80,84,88,88,90,91,95,97
PRI,13,16,18,20,24,24,25,27,28,29,32,32,33,35,37,42,45,47,51,53,54,55,57,65,65,66,73,77,80,80,86,87,90,91,93,98
PRK,3,4,7,10,10,11,16,17,18,19,21,26,27,34,40,44,45,47,48,53,54,59,66,73,73,74,77,80,85,86,89,90,92,96,96,98
PRT,2,2,3,10,10,12,18,25,26,29,33,42,46,51,55,56,61,62,63,63,64,66,69,72,72,73,77,78,81,84,85,85,88,89,93,94
PRY,2,11,11,13,15,16,17,17,22,23,32,41,46,48,50,50,51,51,52,54,61,67,68,72,72,73,74,76,81,83,84,86,87,94,94,98
PSE,8,9,13,18,18,25,26,27,34,34,36,39,42,43,46,48,51,51,65,68,69,72,78,78,81,83,83,84,85,85,86,93,95,98,99,99
PYF,7,8,10,12,12,13,23,25,26,27,31,35,45,46,46,49,50,53,58,58,59,61,62,62,66,73,77,81,81,86,88,90,94,96,96,97
QAT,6,6,10,14,14,14,15,16,24,32,33,39,44,44,45,47,50,50,60,62,62,68,68,68,73,76,80,81,82,83,84,89,91,95,97,98
REU,4,5,7,7,8,9,15,18,20,21,23,24,30,31,31,31,34,35,35,36,49,52,55,56,58,61,67,69,70,74,78,85,85,88,95,98
ROU,4,4,5,5,7,7,9,12,26,28,30,38,39,44,44,46,47,48,53,53,55,58,60,61,62,63,64,67,68,75,76,76,77,78,80,83
RUS,1,1,10,12,13,17,18,28,28,35,40,41,42,46,47,49,57,62,70,72,73,73,74,77,79,82,84,84,86,86,91,93,93,93,95,99
RUS,3,4,4,8,8,9,13,13,15,18,18,19,20,24,29,41,42,44,44,44,49,49,53,58,61,62,63,71,79,80,81,85,87,89,98,98
RWA,3,4,5,7,10,12,12,18,21,23,23,23,24,27,27,32,32,44,49,54,60,66,69,69,69,70,74,75,80,80,88,90,91,92,94,97
SAU,5,8,10,11,15,17,23,31,32,33,35,37,37,44,50,52,55,55,57,63,66,67,71,72,73,74,76,78,78,80,83,83,84,88,95,98
SDN,4,5,6,6,11,14,15,17,18,19,21,22,25,31,33,33,34,34,36,49,49,54,56,60,65,66,67,73,73,74,78,82,84,93,94,99
SEN,1,7,9,9,10,10,11,24,28,32,35,43,45,46,48,49,55,55,59,64,68,75,77,80,83,85,86,86,92,93,94,94,95,96,98,99
SGP,2,3,4,5,10,12,17,18,19,21,23,24,30,39,41,45,46,46,51,52,57,57,58,59,69,75,79,82,84,84,87,88,89,95,97,98
SGS,1,4,4,8,8,14,19,21,22,25,26,31,32,34,36,43,46,48,49,51,53,53,57,62,68,69,70,75,77,78,80,81,91,92,97,99
SHN,2,2,5,7,10,11,14,15,20,22,22,23,23,24,34,34,34,45,57,57,61,65,65,69,71,72,75,77,77,79,84,86,86,96,98,99
SJM,2,3,3,8,10,15,26,29,31,31,33,34,36,42,43,48,50,52,60,61,63,64,66,68,69,70,71,72,77,82,89,90,93,97,98,99
SLB,1,4,5,10,11,12,14,17,18,19,23,24,26,30,31,34,38,39,43,49,52,52,57,57,62,62,74,79,81,81,83,92,92,92,94,98
SLE,2,8,13,15,16,21,22,24,28,29,39,43,43,43,44,46,47,47,49,58,58,61,61,62,67,70,71,73,73,75,80,85,85,87,90,99
SLV,1,5,6,6,6,7,11,12,17,18,18,20,21,23,30,39,40,42,49,49,52,57,58,61,62,67,73,74,75,75,76,83,85,90,90,92
SMR,6,19,21,24,25,26,32,34,52,55,56,59,59,61,63,63,67,68,68,69,70,72,73,75,79,84,85,85,87,88,88,89,94,94,96,99
SOM,1,2,4,5,10,12,16,26,28,29,30,40,40,46,52,56,56,57,61,67,70,72,74,78,79,80,83,85,88,88,89,94,94,95,95,97
SPM,6,9,15,19,20,22,23,26,27,29,33,41,41,46,48,48,52,53,57,59,62,66,68,71,75,75,75,78,79,80,81,83,87,91,93,99
SRB,4,7,11,13,14,16,18,22,28,32,33,38,39,41,42,42,43,45,50,50,54,55,56,57,58,59,67,68,80,80,83,85,86,86,86,88
SSD,1,5,6,7,19,22,24,25,25,25,26,27,28,32,33,37,37,40,46,47,47,50,53,55,63,70,74,77,77,82,88,90,91,93,97,99
STP,6,10,14,16,16,17,17,18,19,20,23,25,29,30,33,36,36,42,43,43,47,49,54,56,60,63,64,72,72,73,74,78,81,82,91,99
SUR,1,6,10,12,15,16,16,18,21,22,25,34,34,36,39,42,44,44,45,56,56,58,65,71,72,77,79,82,85,85,86,88,95,97,98,98
SVK,4,12,12,14,18,18,19,22,25,25,26,31,38,41,42,44,45,45,49,49,50,60,61,63,65,67,76,76,77,79,80,80,81,96,96,99
SVN,4,12,12,13,13,27,39,39,46,47,48,50,53,54,55,55,56,57,63,67,67,72,79,83,84,85,88,91,92,92,92,94,95,96,97,99
SWE,3,5,7,7,8,8,18,18,20,20,23,30,37,38,38,39,40,43,44,56,57,62,63,65,65,69,72,74,75,77,81,87,88,92,93,98
SWZ,1,3,6,8,15,18,20,21,24,24,25,30,33,39,40,42,46,48,49,51,53,54,55,56,58,60,64,66,75,76,76,83,85,85,86,97
SYC,4,9,12,16,16,20,22,24,24,25,26,27,28,29,32,42,45,47,62,62,64,67,69,70,73,75,75,77,79,83,87,93,94,96,98,99
SYR,4,15,15,16,18,24,31,31,33,33,36,39,40,41,41,45,47,54,59,62,65,69,73,73,76,80,81,85,88,88,89,92,94,95,96,98
TCA,1,10,11,15,18,21,24,24,25,26,28,28,33,33,36,38,47,47,49,51,58,60,65,66,69,69,70,70,81,84,87,94,94,95,95,97
TCD,7,8,10,14,14,16,20,30,30,32,33,35,35,35,37,38,46,48,48,53,55,58,60,60,61,72,72,76,79,86,88,89,89,93,94,98
TGO,5,10,10,13,13,14,15,20,21,22,23,32,34,35,38,39,42,43,58,59,60,65,65,73,76,76,81,82,85,87,87,87,91,91,94,97
THA,1,6,10,11,12,21,23,27,30,32,33,33,34,38,38,44,47,53,53,54,55,55,66,66,69,70,76,76,76,78,79,84,88,88,93,99
TJK,2,4,6,7,9,11,12,12,15,15,17,37,40,54,55,56,61,62,63,63,63,64,68,73,75,80,80,82,86,86,88,90,91,92,92,93
TKL,1,7,8,12,13,16,24,27,30,30,30,31,31,36,36,42,43,44,46,50,51,60,60,64,69,69,75,77,79,87,89,89,89,94,97,99
TKM,1,1,3,4,17,26,27,27,29,29,36,39,40,41,43,44,45,52,53,54,55,57,58,60,62,63,64,64,73,77,85,91,91,92,93,98
TLS,3,5,9,16,21,22,22,23,25,28,29,33,38,38,40,42,42,43,45,47,55,55,58,59,61,61,65,71,74,82,83,84,87,89,96,97
TON,6,6,8,8,8,8,11,11,13,15,16,17,21,23,27,27,29,29,33,37,39,43,50,53,60,61,61,64,67,69,77,81,88,93,94,98
TTO,1,1,9,9,12,14,14,15,15,17,27,28,29,32,33,38,45,46,48,51,52,52,54,54,60,64,68,78,78,79,83,90,91,94,99,99
TUN,4,4,6,16,17,17,20,21,23,24,25,26,28,29,30,31,33,35,36,38,47,47,50,51,54,62,63,74,77,77,79,87,89,90,94,99
TUR,4,11,15,25,28,30,31,36,37,40,40,47,49,51,56,56,57,61,62,62,63,63,65,69,69,71,73,74,74,82,85,86,89,92,98,99
TUV,1,2,8,11,11,12,13,15,17,20,23,29,30,38,43,43,53,56,57,63,69,71,72,74,74,76,77,78,79,79,82,83,92,93,94,97
TWN,4,8,11,17,20,22,26,26,28,29,32,34,35,41,46,47,48,50,60,62,66,67,67,68,69,70,72,75,78,82,83,83,84,85,88,98
TWN,5,8,9,10,14,19,22,26,26,26,27,29,32,33,34,34,38,42,43,44,48,49,49,49,60,62,62,66,70,71,75,94,95,95,96,98
TZA,3,6,6,9,9,9,11,14,15,18,19,22,31,35,38,42,44,47,53,55,56,58,59,69,73,78,78,79,83,85,85,88,90,90,90,92
UGA,1,4,5,6,8,10,11,11,16,16,17,21,24,25,38,40,44,46,59,59,62,67,67,73,77,78,79,83,83,84,87,91,92,93,94,98
UKR,3,3,3,8,12,14,18,20,23,25,26,28,28,28,30,30,32,32,36,38,42,51,53,53,57,58,65,72,76,80,81,88,91,94,97,97
UMI,1,2,4,5,5,7,8,13,14,24,26,27,31,32,36,38,42,43,44,52,54,62,63,73,77,78,79,81,81,83,84,88,89,94,96,97
URY,4,23,23,25,27,32,36,36,36,37,37,38,39,48,50,53,53,59,61,62,63,63,64,66,70,72,73,73,75,78,78,78,80,81,81,87
USA,3,4,5,6,9,13,18,19,21,22,24,24,27,34,37,38,48,50,52,52,56,59,63,65,66,69,72,76,86,86,87,89,90,94,96,97
UZB,2,7,9,11,14,16,16,17,23,23,24,24,27,30,31,31,38,45,52,53,59,60,60,62,67,75,76,84,86,87,87,88,91,92,92,93
VAT,1,2,2,3,4,6,9,10,13,14,15,22,23,29,36,36,38,40,41,41,43,45,52,53,55,58,70,70,75,81,84,89,91,92,93,93
VCT,2,12,13,16,19,20,23,25,25,29,35,36,39,39,41,45,50,53,59,59,61,62,67,68,69,69,73,73,79,83,89,89,91,94,94,95
VCT,3,9,9,12,14,18,18,23,27,31,33,40,40,45,47,49,53,56,57,58,60,63,68,71,73,74,77,78,85,88,90,90,92,94,94,97
VCT,4,5,9,10,14,16,23,27,27,33,33,34,37,40,44,46,47,47,51,55,56,59,60,64,66,68,70,71,72,77,79,79,82,82,84,92
VEN,4,4,5,6,7,8,10,13,19,25,26,29,36,40,52,54,54,55,56,59,62,66,66,68,71,74,76,77,78,87,88,89,91,93,95,96
VEN,1,4,5,14,20,26,27,28,29,30,33,33,35,37,37,41,47,48,51,52,53,54,62,64,65,69,71,77,78,82,84,89,89,94,95,98
VGB,2,2,8,10,15,23,24,24,26,27,32,33,41,47,48,50,50,51,53,56,61,61,61,65,70,70,74,75,75,78,80,84,86,88,90,93
VIR,3,6,7,13,16,17,18,23,24,28,30,30,33,34,36,37,37,43,44,49,49,49,52,56,61,61,65,65,73,78,80,82,93,98,98,99
VNM,1,4,6,7,9,10,10,10,15,16,17,20,21,26,29,31,34,36,38,50,51,51,56,60,61,67,70,72,76,78,88,88,92,93,94,95
VNM,2,4,6,8,12,12,13,14,15,19,24,30,33,34,34,36,54,59,59,61,65,70,72,73,74,75,75,76,80,80,81,82,87,87,92,97
VUT,8,8,20,20,22,22,23,24,28,29,31,33,34,39,39,41,44,45,46,47,48,51,55,55,59,67,69,69,73,74,74,76,83,84,87,96
WLF,1,3,6,8,9,10,10,12,14,16,20,23,25,27,28,29,29,30,37,45,47,57,58,60,62,70,73,77,78,83,84,85,85,91,95,95
WSM,1,7,14,14,17,21,24,29,30,33,34,35,36,39,39,41,44,51,51,60,60,62,64,66,70,70,73,78,81,87,87,90,92,93,98,99
YEM,2,3,8,14,14,15,15,23,24,24,28,29,34,35,38,44,44,45,47,53,54,55,55,64,64,65,68,68,72,73,75,86,90,91,93,94
ZAF,2,2,7,8,10,11,12,14,15,16,17,18,21,25,26,29,30,35,35,39,46,49,50,52,53,53,56,57,62,70,70,71,87,93,96,98
ZMB,12,12,22,24,27,30,34,34,38,39,39,40,43,46,47,48,53,54,55,55,55,57,59,60,60,64,79,80,81,82,82,85,89,96,96,99
ZWE,1,1,3,3,7,10,15,16,18,18,20,22,25,28,31,32,33,37,38,39,42,47,48,54,58,60,61,67,72,80,80,80,82,89,90,92
